quantity_id,quantity,symbol,definition,unit,time_resolution,spatial_resolution,implementation_status,provenance_class,primary_source,raw_fields,processed_fields,equation_transformation_model,code_implementing_it,fitted_parameters,modeling_assumptions,calibration_target,independent_validation_source,accuracy_diagnostic_available,confidence_level,missing_information_limitation,glossary_section
Q_OP_GHG,Operational Scope 1+2 (market-sensitive),operational GHG,"Meta-disclosed operational Scope 1+2 at the site table. Definition/source-vintage sensitive; 2018 REC agreement is an accounting breakpoint, not a physical switch.",tCO2e,annual,campus inventory,curated in annual table; not used as physical carbon model,reported,Meta disclosures,operational Scope 1+2 site tables,operational_scope1_2_tco2e_reported,as disclosed; not converted to a physical power source,src/build_targets.py,,market instruments can drive this series without changing location-based physics,none for gray-box,do not compare to eGRID as if they were the same boundary,series in meta_prineville_annual.csv,high as disclosed; low as physical emissions,Not a location-based physical total.,grid
Q_ELEC_COST,Electricity cost,c^{elec},Not identified.,unavailable,unavailable,unavailable,unavailable,unavailable,,,,not implemented,,,,,,none,none,No tariff or bill series.,cost
Q_WATER_COST,Water cost,c^{water},Not identified.,unavailable,unavailable,unavailable,unavailable,unavailable,,,,not implemented,,,,,,none,none,No water-rate series.,cost
Q_CAPEX,Investment / capacity cost,c^{inv},Not identified. Permits do not state MW or sqft.,unavailable,unavailable,unavailable,unavailable,unavailable,,,,not implemented,,,,,,none,none,No cost or nameplate-capacity time series.,cost
Q_WF,Water footprint (scarcity-weighted),WF,Not implemented.,unavailable,unavailable,unavailable,unavailable,unavailable,,,,not implemented,,,,,,none,none,AWARE/Aqueduct factors are not in the pipeline.,groundwater
Q_CF_SCARCITY,Scarcity characterization factor,CF,Not implemented.,unavailable,unavailable,unavailable,unavailable,unavailable,,,,not implemented,,,,,,none,none,IWA SUI is not a scarcity CF.,groundwater
Q_WSF,Water-scarcity footprint,WSF,Not implemented. Glossary: WSF is not a groundwater state.,unavailable,unavailable,unavailable,unavailable,unavailable,,,,not implemented,,,,,,none,none,Do not substitute IWA SUI for WSF or head.,groundwater
Q_SPATIAL_M,Spatial crosswalk site→grid→generator→watershed→aquifer,M,Partial: ZIP→eGRID NWPP and site point→HUC12 exist. Generator and aquifer maps for the campus are not identified.,,static,partial,partial,derived,EPA_EGRID_POWER_PROFILER; USGS_WBD,ZIP 97754; site coordinates used for HUC12,eGRID subregion NWPP; site_huc12_id=170703051002,Power Profiler unique NWPP; point-in-polygon HUC12,src/prepare_egrid.py; src/usgs_nwaa_config.py; src/build_municipal_huc12_crosswalk.py,,campus polygon unverified; PACW BA is not a generator list for the campus,none,none for aquifer,municipal HUC12 crosswalk QA,high for ZIP→NWPP; medium for point HUC12; none for generator attribution or aquifer,No site→generator or site→aquifer network.,groundwater
Q_DC_GW,Data-center groundwater extraction,q^{dc},Groundwater-supplied share of campus withdrawal. Not identified. Direct POD exists but is not equated to campus withdrawal.,m³,unavailable as campus groundwater,unavailable,unavailable as the glossary quantity,unavailable,,,,do not set q_dc = City production or POD total,,,,,,none,none,Needs source-share and/or well meters on the campus boundary.,groundwater
Q_OTHER_SECTOR,Other-sector groundwater pumping,q^{other},"Not implemented as a pumping series. USGS public-supply/irrigation are HUC12 models, not well pumping.",unavailable as wells,unavailable,unavailable,unavailable,unavailable,,,,not implemented,,,,,,none,none,HUC12 USGS is not a well network.,groundwater
Q_RECHARGE,Groundwater recharge,R,Not identified. ASR PDFs are context only.,unavailable,unavailable,unavailable,unavailable,unavailable,,,,not implemented,,,,,,none,none,No recharge series or model.,groundwater
Q_HEAD,Groundwater head,h,Not identified. Do not substitute IWA surface availability.,unavailable,unavailable,unavailable,unavailable,unavailable,,,,not implemented,,,,,,none,none,No well hydrograph network in processed data; ASR attachments unused numerically.,groundwater
Q_STORAGE,Groundwater storage,S,Not identified.,unavailable,unavailable,unavailable,unavailable,unavailable,,,,not implemented,,,,,,none,none,No aquifer storage model.,groundwater
Q_CONDUCTANCE,Inter-node conductance,C,Groundwater network not identified.,unavailable,unavailable,unavailable,unavailable,unavailable,,,,not implemented,,,,,,none,none,No reduced-order or MODFLOW coupling.,groundwater
Q_GW_OBS,Groundwater observations,h^{obs},Not in processed tables. ASR documents mention hydrographs but they are not ingested.,unavailable,unavailable,unavailable,unavailable,unavailable,,,,not implemented,,,,,,none,none,Need OWRD/City well-head series.,groundwater
Q_SITING,Siting / location choice,siting,Not implemented. Out of current pipeline scope.,unavailable,unavailable,unavailable,unavailable,unavailable,,,,not implemented,,,,,,none,none,PSCC siting model not in this repository pipeline.,groundwater
Q_EQUITY,Equity / burden metrics,equity,Not implemented.,unavailable,unavailable,unavailable,unavailable,unavailable,,,,not implemented,,,,,,none,none,Burden object not defined in code.,groundwater
Q_XI,Structural uncertainty terms,ξ,"Stochastic module samples facility-overhead and water-shape mixture priors; this is scenario uncertainty, not an identified structural-error model.",varies,ensemble,campus scenario,"partial (scenario ensemble, not ξ identification)",scenario,src/stochastic_conditional_simulation.py,,annual_pue_p05/p95; water_train_only_pred_m3_p05/p95,sampled fan/other fractions; water-shape Dirichlet-like mixture,src/stochastic_conditional_simulation.py::sampled_facility_priors; water_shape_weights,"priors, not identified ξ","ensemble spread is sensitivity, not validated predictive intervals",none for ξ,none,ensemble quantiles; not accuracy vs hourly truth,low as a statistical uncertainty model,Do not treat ensemble bands as calibrated coverage probabilities.,groundwater
Q_HEAT_RATE,Generator heat rate,HR,CAMPD heat input is stored; a campus-coupled heat-rate model is not implemented.,mmBtu (CAMPD heat input) where present,hourly CAMPD,Oregon units,partial (raw heat input present; not a campus HR model),measured,EPA_CAMPD_OR,Heat Input,campd_or_unit_hourly.csv heat-input column as prepared,posted heat input not multiplied by Operating Time,src/prepare_oregon_generators.py,,not used to dispatch Meta load,none,EIA-923 fuel mmBtu used in annual reconciliation notes,oregon_campd_eia923_annual_reconciliation.csv,medium as CEMS heat input; none as Meta coupling,No site-attributed heat rate.,grid
